https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1618358400000,2021-04-14 00:00:00,ETH/BTC,0.03617500,0.03890000,0.03608200,0.03863500,339288.41200000,12641.14277920,469763
1618272000000,2021-04-13 00:00:00,ETH/BTC,0.03571400,0.03660300,0.03488300,0.03617600,294881.89500000,10545.83449207,373039
1618185600000,2021-04-12 00:00:00,ETH/BTC,0.03585400,0.03609000,0.03515900,0.03571400,200031.24800000,7144.80987589,246548
1618099200000,2021-04-11 00:00:00,ETH/BTC,0.03569600,0.03609500,0.03541400,0.03585400,152751.93700000,5468.16228971,219997
1618012800000,2021-04-10 00:00:00,ETH/BTC,0.03554600,0.03656800,0.03547500,0.03569200,230910.57400000,8261.16313951,279347
1617926400000,2021-04-09 00:00:00,ETH/BTC,0.03582400,0.03597800,0.03528400,0.03554600,161137.26800000,5744.52806405,203308
1617840000000,2021-04-08 00:00:00,ETH/BTC,0.03508000,0.03593000,0.03497000,0.03581600,186761.61700000,6625.87315253,233037
1617753600000,2021-04-07 00:00:00,ETH/BTC,0.03641900,0.03659100,0.03470800,0.03509400,248961.59800000,8852.94185430,360125
1617667200000,2021-04-06 00:00:00,ETH/BTC,0.03564100,0.03660500,0.03560800,0.03641500,235222.68600000,8498.17194028,326595
1617580800000,2021-04-05 00:00:00,ETH/BTC,0.03566800,0.03610500,0.03521000,0.03563700,230293.70800000,8207.89357751,312027
1617494400000,2021-04-04 00:00:00,ETH/BTC,0.03520400,0.03596100,0.03491900,0.03566900,186558.86000000,6620.49334391,229410
1617408000000,2021-04-03 00:00:00,ETH/BTC,0.03619000,0.03626500,0.03458500,0.03520900,271274.39700000,9608.31598544,319925
1617321600000,2021-04-02 00:00:00,ETH/BTC,0.03351200,0.03630000,0.03314300,0.03619000,300198.17200000,10309.15126161,361393
1617235200000,2021-04-01 00:00:00,ETH/BTC,0.03267400,0.03370100,0.03242200,0.03351200,284980.22000000,9387.93423818,300456
1617148800000,2021-03-31 00:00:00,ETH/BTC,0.03132800,0.03304300,0.03091400,0.03267000,266275.62700000,8443.19370753,317690
1617062400000,2021-03-30 00:00:00,ETH/BTC,0.03152900,0.03173000,0.03102400,0.03132600,229456.11600000,7179.86672415,226401
1616976000000,2021-03-29 00:00:00,ETH/BTC,0.03024600,0.03181700,0.03020100,0.03153000,275550.98900000,8538.56750001,278652
1616889600000,2021-03-28 00:00:00,ETH/BTC,0.03067800,0.03070300,0.03021000,0.03024300,163463.61400000,4978.54417555,180309
1616803200000,2021-03-27 00:00:00,ETH/BTC,0.03087500,0.03107600,0.03036400,0.03068100,171759.26800000,5282.30683684,194821
1616716800000,2021-03-26 00:00:00,ETH/BTC,0.03092100,0.03124000,0.03028100,0.03087700,268637.27700000,8273.39418519,251159
1616630400000,2021-03-25 00:00:00,ETH/BTC,0.03025200,0.03133200,0.02992800,0.03092000,260196.99700000,7962.62588659,289494
1616544000000,2021-03-24 00:00:00,ETH/BTC,0.03069700,0.03105500,0.02934100,0.03025100,262494.17300000,7967.89347101,304557
1616457600000,2021-03-23 00:00:00,ETH/BTC,0.03108400,0.03140000,0.03050500,0.03069700,216316.51900000,6693.23495219,256537
1616371200000,2021-03-22 00:00:00,ETH/BTC,0.03109000,0.03145000,0.03057100,0.03108400,208982.64900000,6497.30564930,251766
1616284800000,2021-03-21 00:00:00,ETH/BTC,0.03108000,0.03164600,0.03080600,0.03109000,170746.69100000,5324.51831746,208839
1616198400000,2021-03-20 00:00:00,ETH/BTC,0.03117400,0.03149400,0.03094200,0.03107800,176469.29500000,5507.54845238,227218
1616112000000,2021-03-19 00:00:00,ETH/BTC,0.03081100,0.03121000,0.03067900,0.03117400,184446.91500000,5709.44033899,221866
1616025600000,2021-03-18 00:00:00,ETH/BTC,0.03095700,0.03138800,0.03041000,0.03080700,245495.20300000,7589.84283333,245773
